id,name,code,area_id
1,函館市,hakodate,2
2,小樽市,otaru,3
3,旭川市,asahikawa,4
4,室蘭市,muroran,3
5,釧路市,kushiro,5
6,帯広市,obihiro,5
7,北見市,kitami,5
8,夕張市,yubari,3
9,岩見沢市,iwamizawa,3
10,網走市,abashiri,5
11,留萌市,rumoi,4
12,苫小牧市,tomakomai,3
13,稚内市,wakkanai,4
14,美唄市,bibai,3
15,芦別市,ashibetsu,3
16,江別市,ebetsu,3
17,赤平市,akabira,3
18,紋別市,monbetsu,5
19,士別市,shibetsu,4
20,名寄市,nayoro,4
21,三笠市,mikasa,3
22,根室市,nemuro,5
23,千歳市,chitose,3
24,滝川市,takikawa,3
25,砂川市,sunagawa,3
26,歌志内市,utashinai,3
27,深川市,fukagawa,3
28,富良野市,furano,4
29,登別市,noboribetsu,3
30,恵庭市,eniwa,3
31,伊達市,date,3
32,北広島市,kitahiroshima,3
33,石狩市,ishikari,3
34,北斗市,hokuto,2
35,当別町,tobetsu,6
36,新篠津村,shinshinotsu,6
37,松前町,matsumae,6
38,福島町,fukushima,6
39,知内町,shiriuchi,6
40,木古内町,kikonai,6
41,七飯町,nanae,6
42,鹿部町,shikabe,6
43,森町,mori,6
44,八雲町,yakumo,6
45,長万部町,oshamanbe,6
46,江差町,esashi,6
47,上ノ国町,kaminokuni,6
48,厚沢部町,assabu,6
49,乙部町,otobe,6
50,奥尻町,okushiri,6
51,今金町,imakane,6
52,せたな町,setana,6
53,島牧村,shimamaki,6
54,寿都町,suttsu,6
55,黒松内町,kuromatsunai,6
56,蘭越町,rankoshi,6
57,ニセコ町,niseko,6
58,真狩村,makkari,6
59,留寿都村,rusutsu,6
60,喜茂別町,kimobetsu,6
61,京極町,kyogoku,6
62,倶知安町,kutchan,4
63,共和町,kyowa,4
64,岩内町,iwanai,4
65,泊村,tomari,4
66,神恵内村,kamoenai,4
67,積丹町,shakotan,4
68,古平町,furubira,4
69,仁木町,niki,4
70,余市町,yoichi,4
71,赤井川村,akaigawa,4
72,南幌町,nanporo,4
73,奈井江町,naie,4
74,上砂川町,kamisunagawa,4
75,由仁町,yuni,4
76,長沼町,naganuma,4
77,栗山町,kuriyama,4
78,月形町,tsukigata,4
79,浦臼町,urausu,4
80,新十津川町,shintotsukawa,4
81,妹背牛町,moseushi,4
82,秩父別町,chippubetsu,4
83,雨竜町,uryu,4
84,北竜町,hokuryu,4
85,沼田町,numata,4
86,鷹栖町,takasu,4
87,東神楽町,higashikagura,4
88,当麻町,toma,4
89,比布町,pippu,4
90,愛別町,aibetsu,4
91,上川町,kamikawa,4
92,東川町,higashikawa,4
93,美瑛町,biei,4
94,上富良野町,kamifurano,4
95,中富良野町,nakafurano,4
96,南富良野町,minamifurano,4
97,占冠村,shimukappu,4
98,和寒町,wassamu,4
99,剣淵町,kenbuchi,4
100,下川町,shimokawa,4
101,美深町,bifuka,4
102,音威子府村,otoineppu,4
103,中川町,nakagawa,4
104,幌加内町,horokanai,4
105,増毛町,mashike,4
106,小平町,obira,4
107,苫前町,tomamae,4
108,羽幌町,haboro,4
109,初山別村,shosanbetsu,4
110,遠別町,enbetsu,4
111,天塩町,teshio,4
112,猿払村,sarufutsu,4
113,浜頓別町,hamatonbetsu,4
114,中頓別町,nakatonbetsu,4
115,枝幸町,esashi,4
116,豊富町,toyotomi,4
117,礼文町,rebun,4
118,利尻町,rishiri,4
119,利尻富士町,rishirifuji,4
120,幌延町,horonobe,4
121,美幌町,bihoro,4
122,津別町,tsubetsu,4
123,斜里町,shari,4
124,清里町,kiyosato,4
125,小清水町,koshimizu,4
126,訓子府町,kunneppu,4
127,置戸町,oketo,4
128,佐呂間町,saroma,4
129,遠軽町,engaru,4
130,湧別町,yubetsu,4
131,滝上町,takinoue,4
132,興部町,okoppe,4
133,西興部村,nishiokoppe,4
134,雄武町,omu,4
135,大空町,ozora,5
136,豊浦町,toyoura,6
137,壮瞥町,sobetsu,6
138,白老町,shiraoi,6
139,厚真町,atsuma,6
140,洞爺湖町,toyako,6
141,安平町,abira,6
142,むかわ町,mukawa,6
143,日高町,hidaka,6
144,平取町,biratori,6
145,新冠町,niikappu,6
146,浦河町,urakawa,6
147,様似町,samani,6
148,えりも町,erimo,6
149,新ひだか町,shinhidaka,6
150,音更町,otofuke,6
151,士幌町,shihoro,6
152,上士幌町,kamishihoro,6
153,鹿追町,shikaoi,6
154,新得町,shintoku,6
155,清水町,shimizu,6
156,芽室町,memuro,6
157,中札内村,nakasatsunai,5
158,更別村,sarabetsu,5
159,大樹町,taiki,5
160,広尾町,hiroo,5
161,幕別町,makubetsu,5
162,池田町,ikeda,5
163,豊頃町,toyokoro,5
164,本別町,honbetsu,5
165,足寄町,ashoro,5
166,陸別町,rikubetsu,5
167,浦幌町,urahoro,5
168,釧路町,kushiro,5
169,厚岸町,akkeshi,5
170,浜中町,hamanaka,5
171,標茶町,shibecha,5
172,弟子屈町,teshikaga,5
173,鶴居村,tsurui,5
174,白糠町,shiranuka,5
175,別海町,bekkai,5
176,中標津町,nakashibetsu,5
177,標津町,shibetsu,5
178,羅臼町,rausu,5
179,青森市,aomori,7
180,弘前市,hirosaki,7
181,八戸市,hachinohe,7
182,黒石市,kuroishi,7
183,五所川原市,goshogawara,7
184,十和田市,towada,7
185,三沢市,misawa,7
186,むつ市,mutsu,7
187,つがる市,tsugaru,7
188,平川市,hirakawa,7
189,平内町,hiranai,7
190,今別町,imabetsu,7
191,蓬田村,yomogita,7
192,外ヶ浜町,sotogahama,7
193,鰺ヶ沢町,ajigasawa,7
194,深浦町,fukaura,7
195,西目屋村,nishimeya,7
196,藤崎町,fujisaki,7
197,大鰐町,owani,7
198,田舎館村,inakadate,7
199,板柳町,itayanagi,7
200,鶴田町,tsuruta,7
201,中泊町,nakadomari,7
202,野辺地町,noheji,7
203,七戸町,shichinohe,7
204,六戸町,rokunohe,7
205,横浜町,yokohama,7
206,東北町,tohoku,7
207,六ヶ所村,rokkasho,7
208,おいらせ町,oirase,7
209,大間町,oma,7
210,東通村,higashidori,7
211,風間浦村,kazamaura,7
212,佐井村,sai,7
213,三戸町,sannohe,7
214,五戸町,gonohe,7
215,田子町,tatsuko,7
216,南部町,nanbu,7
217,階上町,hashikami,7
218,新郷村,shingo,7
219,盛岡市,morioka,8
220,宮古市,miyako,9
221,大船渡市,ofunato,9
222,花巻市,hanamaki,9
223,北上市,kitakami,9
224,久慈市,kuji,9
225,遠野市,tono,9
226,一関市,ichinoseki,9
227,陸前高田市,rikuzentakata,9
228,釜石市,kamaishi,9
229,二戸市,ninohe,9
230,八幡平市,hachimantai,9
231,奥州市,oshu,9
232,滝沢市,takizawa,9
233,雫石町,shizukuishi,9
234,葛巻町,kuzumaki,9
235,岩手町,iwate,9
236,紫波町,shiwa,9
237,矢巾町,yahaba,9
238,西和賀町,nishiwaga,9
239,金ケ崎町,kanegasaki,9
240,平泉町,hiraizumi,9
241,住田町,sumita,9
242,大槌町,otsuchi,9
243,山田町,yamada,9
244,岩泉町,iwaizumi,9
245,田野畑村,tanohata,9
246,普代村,fudai,9
247,軽米町,karumai,9
