id,code,name,region_id
1,hokkaido,北海道,1
2,aomori,青森県,2
3,iwate,岩手県,2
4,akita,秋田県,2
5,miyagi,宮城県,2
6,yamagata,山形県,2
7,fukushima,福島県,2
8,ibaraki,茨城県,3
9,tochigi,栃木県,3
10,gunma,群馬県,3
11,saitama,埼玉県,3
12,tokyo,東京都,3
13,kanagawa,神奈川県,3
14,chiba,千葉県,3
15,yamanashi,山梨県,4
16,nagano,長野県,4
17,niigata,新潟県,4
18,ishikawa,石川県,4
19,toyama,富山県,4
20,fukui,福井県,4
21,aichi,愛知県,4
22,shizuoka,静岡県,4
23,gifu,岐阜県,4
24,mie,三重県,5
25,osaka,大阪府,5
26,hyogo,兵庫県,5
27,kyoto,京都府,5
28,shiga,滋賀県,5
29,nara,奈良県,5
30,wakayama,和歌山県,5
31,ehime,愛媛県,6
32,kagawa,香川県,6
33,kochi,高知県,6
34,tokushima,徳島県,6
35,okayama,岡山県,7
36,hiroshima,広島県,7
37,shimane,島根県,7
38,tottori,鳥取県,7
39,yamaguchi,山口県,7
40,fukuoka,福岡県,8
41,saga,佐賀県,8
42,nagasaki,長崎県,8
43,kumamoto,熊本県,8
44,oita,大分県,8
45,miyazaki,宮崎県,8
46,kagoshima,鹿児島県,8
47,okinawa,沖縄県,9
