id,name,code,area_id
1,函館市,hakodate,2
2,小樽市,otaru,6
3,旭川市,asahikawa,4
4,室蘭市,muroran,6
5,釧路市,kushiro,3
6,帯広市,obihiro,3
7,北見市,kitami,3
8,夕張市,yubari,6
9,岩見沢市,iwamizawa,6
10,網走市,abashiri,3
11,留萌市,rumoi,4
12,苫小牧市,tomakomai,6
13,稚内市,wakkanai,4
14,美唄市,bibai,6
15,芦別市,ashibetsu,6
16,江別市,ebetsu,6
17,赤平市,akabira,6
18,紋別市,monbetsu,3
19,士別市,shibetsu,4
20,名寄市,nayoro,4
21,三笠市,mikasa,6
22,根室市,nemuro,3
23,千歳市,chitose,6
24,滝川市,takikawa,6
25,砂川市,sunagawa,6
26,歌志内市,utashinai,6
27,深川市,fukagawa,6
28,富良野市,furano,4
29,登別市,noboribetsu,6
30,恵庭市,eniwa,6
31,伊達市,date,6
32,北広島市,kitahiroshima,6
33,石狩市,ishikari,6
34,北斗市,hokuto,2
35,石狩郡当別町,tobetsu,5
36,石狩郡新篠津村,shinshinotsu,5
37,松前郡松前町,matsumaecho,5
38,松前郡福島町,fukushimacho,5
39,上磯郡知内町,shiriuchi,5
40,上磯郡木古内町,kikonai,5
41,亀田郡七飯町,nanae,5
42,茅部郡鹿部町,shikabe,5
43,茅部郡森町,moricho,5
44,二海郡八雲町,yakumo,5
45,山越郡長万部町,oshamanbe,5
46,檜山郡江差町,esashicho,5
47,檜山郡上ノ国町,kaminokuni,5
48,檜山郡厚沢部町,assabu,5
49,爾志郡乙部町,otobe,5
50,奥尻郡奥尻町,okushiri,5
51,瀬棚郡今金町,imakane,5
52,久遠郡せたな町,setana,5
53,島牧郡島牧村,shimamaki,5
54,寿都郡寿都町,suttsu,5
55,寿都郡黒松内町,kuromatsunai,5
56,磯谷郡蘭越町,rankoshi,5
57,虻田郡ニセコ町,niseko,5
58,虻田郡真狩村,makkari,5
59,虻田郡留寿都村,rusutsu,5
60,虻田郡喜茂別町,kimobetsu,5
61,虻田郡京極町,kyogoku,5
62,虻田郡倶知安町,kutchan,4
63,岩内郡共和町,kyowa,4
64,岩内郡岩内町,iwanai,4
65,古宇郡泊村,tomari,4
66,古宇郡神恵内村,kamoenai,4
67,積丹郡積丹町,shakotan,4
68,古平郡古平町,furubira,4
69,余市郡仁木町,niki,4
70,余市郡余市町,yoichi,4
71,余市郡赤井川村,akaigawa,4
72,空知郡南幌町,nanporo,4
73,空知郡奈井江町,naie,4
74,空知郡上砂川町,kamisunagawa,4
75,夕張郡由仁町,yuni,4
76,夕張郡長沼町,naganuma,4
77,夕張郡栗山町,kuriyama,4
78,樺戸郡月形町,tsukigata,4
79,樺戸郡浦臼町,urausu,4
80,樺戸郡新十津川町,shintotsukawa,4
81,雨竜郡妹背牛町,moseushi,4
82,雨竜郡秩父別町,chippubetsu,4
83,雨竜郡雨竜町,uryu,4
84,雨竜郡北竜町,hokuryu,4
85,雨竜郡沼田町,numatacho,4
86,上川郡鷹栖町,takasu,4
87,上川郡東神楽町,higashikagura,4
88,上川郡当麻町,toma,4
89,上川郡比布町,pippu,4
90,上川郡愛別町,aibetsu,4
91,上川郡上川町,kamikawacho,4
92,上川郡東川町,higashikawa,4
93,上川郡美瑛町,biei,4
94,空知郡上富良野町,kamifurano,4
95,空知郡中富良野町,nakafurano,4
96,空知郡南富良野町,minamifurano,4
97,勇払郡占冠村,shimukappu,4
98,上川郡和寒町,wassamu,4
99,上川郡剣淵町,kenbuchi,4
100,上川郡下川町,shimokawa,4
101,中川郡美深町,bifuka,4
102,中川郡音威子府村,otoineppu,4
103,中川郡中川町,nakagawacho,4
104,雨竜郡幌加内町,horokanai,4
105,増毛郡増毛町,mashike,4
106,留萌郡小平町,obira,4
107,苫前郡苫前町,tomamae,4
108,苫前郡羽幌町,haboro,4
109,苫前郡初山別村,shosanbetsu,4
110,天塩郡遠別町,enbetsu,4
111,天塩郡天塩町,teshio,4
112,宗谷郡猿払村,sarufutsu,4
113,枝幸郡浜頓別町,hamatonbetsu,4
114,枝幸郡中頓別町,nakatonbetsu,4
115,枝幸郡枝幸町,esashi,4
116,天塩郡豊富町,toyotomi,4
117,礼文郡礼文町,rebun,4
118,利尻郡利尻町,rishiri,4
119,利尻郡利尻富士町,rishirifuji,4
120,天塩郡幌延町,horonobe,4
121,網走郡美幌町,bihoro,4
122,網走郡津別町,tsubetsu,4
123,斜里郡斜里町,shari,4
124,斜里郡清里町,kiyosato,4
125,斜里郡小清水町,koshimizu,4
126,常呂郡訓子府町,kunneppu,4
127,常呂郡置戸町,oketo,4
128,常呂郡佐呂間町,saroma,4
129,紋別郡遠軽町,engaru,4
130,紋別郡湧別町,yubetsu,4
131,紋別郡滝上町,takinoue,4
132,紋別郡興部町,okoppe,4
133,紋別郡西興部村,nishiokoppe,4
134,紋別郡雄武町,omu,4
135,網走郡大空町,ozora,3
136,虻田郡豊浦町,toyoura,5
137,有珠郡壮瞥町,sobetsu,5
138,白老郡白老町,shiraoi,5
139,勇払郡厚真町,atsuma,5
140,虻田郡洞爺湖町,toyako,5
141,勇払郡安平町,abira,5
142,勇払郡むかわ町,mukawa,5
143,沙流郡日高町,hidakacho,5
144,沙流郡平取町,biratori,5
145,新冠郡新冠町,niikappu,5
146,浦河郡浦河町,urakawa,5
147,様似郡様似町,samani,5
148,幌泉郡えりも町,erimo,5
149,日高郡新ひだか町,shinhidaka,5
150,河東郡音更町,otofuke,5
151,河東郡士幌町,shihoro,5
152,河東郡上士幌町,kamishihoro,5
153,河東郡鹿追町,shikaoi,5
154,上川郡新得町,shintoku,5
155,上川郡清水町,shimizucho,5
156,河西郡芽室町,memuro,5
157,河西郡中札内村,nakasatsunai,3
158,河西郡更別村,sarabetsu,3
159,広尾郡大樹町,taikicho,3
160,広尾郡広尾町,hiroo,3
161,中川郡幕別町,makubetsu,3
162,中川郡池田町,ikedacho,3
163,中川郡豊頃町,toyokoro,3
164,中川郡本別町,honbetsu,3
165,足寄郡足寄町,ashoro,3
166,足寄郡陸別町,rikubetsu,3
167,十勝郡浦幌町,urahoro,3
168,釧路郡釧路町,kushirogun,3
169,厚岸郡厚岸町,akkeshi,3
170,厚岸郡浜中町,hamanaka,3
171,川上郡標茶町,shibecha,3
172,川上郡弟子屈町,teshikaga,3
173,阿寒郡鶴居村,tsurui,3
174,白糠郡白糠町,shiranuka,3
175,野付郡別海町,bekkai,3
176,標津郡中標津町,nakashibetsu,3
177,標津郡標津町,shibetsucho,3
178,目梨郡羅臼町,rausu,3
179,青森市,aomori,7
180,弘前市,hirosaki,7
181,八戸市,hachinohe,7
182,黒石市,kuroishi,7
183,五所川原市,goshogawara,7
184,十和田市,towada,7
185,三沢市,misawa,7
186,むつ市,mutsu,7
187,つがる市,tsugaru,7
188,平川市,hirakawa,7
189,東津軽郡平内町,hiranai,7
190,東津軽郡今別町,imabetsu,7
191,東津軽郡蓬田村,yomogita,7
192,東津軽郡外ヶ浜町,sotogahama,7
193,西津軽郡鰺ヶ沢町,ajigasawa,7
194,西津軽郡深浦町,fukaura,7
195,中津軽郡西目屋村,nishimeya,7
196,南津軽郡藤崎町,fujisaki,7
197,南津軽郡大鰐町,owani,7
198,南津軽郡田舎館村,inakadate,7
199,北津軽郡板柳町,itayanagi,7
200,北津軽郡鶴田町,tsuruta,7
201,北津軽郡中泊町,nakadomari,7
202,上北郡野辺地町,noheji,7
203,上北郡七戸町,shichinohe,7
204,上北郡六戸町,rokunohe,7
205,上北郡横浜町,yokohama,7
206,上北郡東北町,tohoku,7
207,上北郡六ヶ所村,rokkasho,7
208,上北郡おいらせ町,oirase,7
209,下北郡大間町,oma,7
210,下北郡東通村,higashidori,7
211,下北郡風間浦村,kazamaura,7
212,下北郡佐井村,sai,7
213,三戸郡三戸町,sannohe,7
214,三戸郡五戸町,gonohe,7
215,三戸郡田子町,tatsuko,7
216,三戸郡南部町,nanbucho,7
217,三戸郡階上町,hashikami,7
218,三戸郡新郷村,shingo,7
219,盛岡市,morioka,8
220,宮古市,miyakocho,9
221,大船渡市,ofunato,9
222,花巻市,hanamaki,9
223,北上市,kitakami,9
224,久慈市,kuji,9
225,遠野市,tono,9
226,一関市,ichinoseki,9
227,陸前高田市,rikuzentakata,9
228,釜石市,kamaishi,9
229,二戸市,ninohe,9
230,八幡平市,hachimantai,9
231,奥州市,oshu,9
232,滝沢市,takizawa,9
233,岩手郡雫石町,shizukuishi,9
234,岩手郡葛巻町,kuzumaki,9
235,岩手郡岩手町,iwate,9
236,紫波郡紫波町,shiwa,9
237,紫波郡矢巾町,yahaba,9
238,和賀郡西和賀町,nishiwaga,9
239,胆沢郡金ケ崎町,kanegasaki,9
240,西磐井郡平泉町,hiraizumi,9
241,気仙郡住田町,sumita,9
242,上閉伊郡大槌町,otsuchi,9
243,下閉伊郡山田町,yamada,9
244,下閉伊郡岩泉町,iwaizumi,9
245,下閉伊郡田野畑村,tanohata,9
246,下閉伊郡普代村,fudai,9
247,九戸郡軽米町,karumai,9
248,九戸郡野田村,nodamura,9
249,九戸郡九戸村,kunohe,9
250,九戸郡洋野町,hironocho,9
251,二戸郡一戸町,ichinohe,9
252,石巻市,ishinomaki,11
253,塩竈市,shiogama,11
254,気仙沼市,kesennuma,11
255,白石市,shiroishishi,11
256,名取市,natori,11
257,角田市,kakuda,11
258,多賀城市,tagajo,11
259,岩沼市,iwanuma,11
260,登米市,tome,11
261,栗原市,kurihara,11
262,東松島市,higashimatsushima,11
263,大崎市,osakishi,11
264,富谷市,tomiya,11
265,刈田郡蔵王町,zao,11
266,刈田郡七ヶ宿町,shichikashuku,11
267,柴田郡大河原町,ogawara,11
268,柴田郡村田町,murata,11
269,柴田郡柴田町,shibatacho,11
270,柴田郡川崎町,kawasakicho,11
271,伊具郡丸森町,marumori,11
272,亘理郡亘理町,watari,11
273,亘理郡山元町,yamamoto,11
274,宮城郡松島町,matsushima,11
275,宮城郡七ヶ浜町,shichigahama,11
276,宮城郡利府町,rifu,11
277,黒川郡大和町,taiwa,11
278,黒川郡大郷町,osato,11
279,黒川郡大衡村,ohira,11
280,加美郡色麻町,shikama,11
281,加美郡加美町,kamimachi,11
282,遠田郡涌谷町,wakuya,11
283,遠田郡美里町,misatocho,11
284,牡鹿郡女川町,onagawa,11
285,本吉郡南三陸町,minamisanriku,11
286,秋田市,akita,12
287,能代市,noshiro,12
288,横手市,yokote,12
289,大館市,odate,12
290,男鹿市,oga,12
291,湯沢市,yuzawashi,12
292,鹿角市,kazuno,12
293,由利本荘市,yurihonjo,12
294,潟上市,katagami,12
295,大仙市,daisenshi,12
296,北秋田市,kitaakita,12
297,にかほ市,nikaho,12
298,仙北市,senboku,12
299,鹿角郡小坂町,kosaka,12
300,北秋田郡上小阿仁村,kamikoani,12
301,山本郡藤里町,fujisato,12
302,山本郡三種町,mitane,12
303,山本郡八峰町,happo,12
304,南秋田郡五城目町,gojome,12
305,南秋田郡八郎潟町,hachirogata,12
306,南秋田郡井川町,ikawa,12
307,南秋田郡大潟村,ogata,12
308,仙北郡美郷町,misatochoo,12
309,雄勝郡羽後町,ugo,12
310,雄勝郡東成瀬村,higashinaruse,12
311,山形市,yamagatashi,13
312,米沢市,yonezawa,13
313,鶴岡市,tsuruoka,13
314,酒田市,sakata,13
315,新庄市,shinjoshi,13
316,寒河江市,sagae,13
317,上山市,kaminoyama,13
318,村山市,murayama,13
319,長井市,nagai,13
320,天童市,tendo,13
321,東根市,higashine,13
322,尾花沢市,obanazawa,13
323,南陽市,nan'yo,13
324,東村山郡山辺町,yamanobe,13
325,東村山郡中山町,nakayama,13
326,西村山郡河北町,kahokucho,13
327,西村山郡西川町,nishikawa,13
328,西村山郡朝日町,asahicho,13
329,西村山郡大江町,oe,13
